Rank,bwaves_Pattern,bwaves_pct,cactusbssn_Pattern,cactusbssn_pct,exchange2_Pattern,exchange2_pct,gcc_Pattern,gcc_pct,leela_Pattern,leela_pct,povray_Pattern,povray_pct,wrf_Pattern,wrf_pct,xz_Pattern,xz_pct
1,XXXX,91.23,XXXX,80.51,XXXX,43.09,XXXX,82.03,XXXX,60.93,XXXX,94.87,TTTT,72.93,XXXX,90.78
2,TTTT,8.02,XTXT,3.59,TTTT,11.20,XXXN,8.17,XXNX,9.33,TTTT,1.79,XXXX,23.26,TTTT,6.34
3,TTTX,0.14,TTTT,3.59,XTXT,9.62,XXXT,2.93,XNXN,8.68,XXXN,0.72,TTTX,0.70,XTXT,1.73
4,TTXT,0.14,XNXN,3.55,XNXN,9.14,TTTT,2.37,XNXX,6.77,XTXT,0.45,XTTT,0.62,XTXX,0.67
5,TXTT,0.14,XXNX,3.53,XXXT,5.17,XXNX,1.00,XXTX,6.12,XNXX,0.32,TTXT,0.62,XXTX,0.35
6,XTTT,0.14,XXTX,2.14,XXXN,4.18,XTXT,0.98,XTXT,4.49,XNXN,0.29,TXTT,0.62,XNXN,0.07
7,XXNX,0.05,XXXN,1.77,XTXX,4.13,XXTX,0.75,XTXX,2.46,XXXT,0.27,XTXT,0.29,XXNX,0.03
8,XXXN,0.03,XXXT,0.70,XNXX,3.86,XNXN,0.65,TTTT,1.03,XTXX,0.23,XNXN,0.29,XNXX,0.00
9,XXTX,0.03,XNXX,0.19,TTTX,2.24,TXXX,0.29,XXXN,0.05,TXXX,0.23,XXXN,0.14,XXXN,0.00
10,XTXT,0.01,XTXX,0.15,TTXX,2.04,TTXX,0.21,TXXX,0.03,TTXX,0.21,XXNX,0.10,TXXX,0.00
11,XNXN,0.01,TXXX,0.06,TXXX,1.91,TTTX,0.19,TTXX,0.03,XXTX,0.20,XXTX,0.09,TTXX,0.00
12,XXXT,0.01,TTXX,0.05,XXNX,0.79,XTXX,0.17,TTTX,0.03,TTTX,0.19,TTXX,0.08,TTTX,0.00
13,TTXX,0.00,TTTX,0.05,XXTX,0.76,XNXX,0.08,XXXT,0.02,XXNX,0.13,TXXX,0.06,XXXT,0.00
14,TXXX,0.00,NXXX,0.03,NXXX,0.57,TTXT,0.02,NXXX,0.00,NXXX,0.02,XXXT,0.05,NXXX,0.00
15,XTXX,0.00,NNXX,0.01,XTTT,0.34,TXTT,0.02,NNXX,0.00,NNXX,0.01,TXXT,0.02,NNNN,0.00
16,XNXX,0.00,NNNX,0.01,TXTT,0.34,XTTT,0.02,NNNX,0.00,NNNN,0.00,XXTT,0.02,NNXX,0.00
17,XXTT,0.00,XTTT,0.00,TTXT,0.34,NXXX,0.02,NNNN,0.00,NNNX,0.00,NXXX,0.02,NNNX,0.00
18,TXXT,0.00,TXTT,0.00,TXXT,0.13,NNXX,0.01,-,0.00,-,0.00,XTXX,0.01,TTXT,0.00
19,NXXX,0.00,TTXT,0.00,XXTT,0.13,NNNX,0.00,-,0.00,-,0.00,XNXX,0.01,TXTT,0.00
20,NNXX,0.00,NNNN,0.00,NNXX,0.00,NNNN,0.00,-,0.00,-,0.00,NNNN,0.00,XTTT,0.00
21,-,0.00,XTTX,0.00,-,0.00,TXXT,0.00,-,0.00,-,0.00,NNXX,0.00,-,0.00
22,-,0.00,-,0.00,-,0.00,XXTT,0.00,-,0.00,-,0.00,NNNX,0.00,-,0.00
23,-,0.00,-,0.00,-,0.00,TXTX,0.00,-,0.00,-,0.00,-,0.00,-,0.00
24,-,0.00,-,0.00,-,0.00,XXNN,0.00,-,0.00,-,0.00,-,0.00,-,0.00
